Political affiliation/Appartenance politique,N.L. Valid Votes/Votes valides T.-N.-L.,P.E.I. Valid Votes/Votes valides Î.-P.-É.,N.S. Valid Votes/Votes valides N.-É.,N.B. Valid Votes/Votes valides N.-B.,Que. Valid Votes/Votes valides Qc,Ont. Valid Votes/Votes valides Ont.,Man. Valid Votes/Votes valides Man.,Sask. Valid Votes/Votes valides Sask.,Alta. Valid Votes/Votes valides Alb.,B.C. Valid Votes/Votes valides C.-B.,Y.T. Valid Votes/Votes valides Yn,N.W.T. Valid Votes/Votes valides T.N.-O.,Nun. Valid Votes/Votes valides Nt
"Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada",170,0,0,0,0,723,213,0,0,195,0,0,0
"Bloc Québécois/Bloc Québécois",0,0,0,0,1236349,0,0,0,0,0,0,0,0
"Canadian Future Party/Parti Avenir Canadien",0,0,169,345,0,872,0,568,1079,90,0,0,0
"Centrist Party of Canada/Parti Centriste du Canada",0,0,0,44,60,3103,0,0,107,0,0,0,0
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",0,0,0,0,181,5193,0,0,3604,1087,0,0,0
"Communist Party of Canada/Parti communiste du Canada",98,0,0,146,572,1707,428,0,865,869,0,0,0
"Conservative Party of Canada/Parti conservateur du Canada",110259,35846,204051,190429,1040992,3324929,297510,362495,1442094,1088655,8719,5513,1992
"Green Party of Canada/Le Parti Vert du Canada",299,2170,5448,7982,40795,85907,4579,2869,8944,79255,474,170,0
"Liberal Party of Canada/Parti libéral du Canada",150458,56011,332354,250659,1904206,3730652,261113,149397,631929,1105033,12009,8855,2812
"Libertarian Party of Canada/Parti Libertarien du Canada",0,0,320,776,0,2484,0,226,623,1132,0,0,0
"Marijuana Party/Parti Marijuana",0,0,0,0,0,133,0,0,0,0,0,0,0
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",0,0,85,0,2385,1898,0,0,511,117,0,0,0
"New Democratic Party/Nouveau Parti démocratique",15319,2367,29413,13626,200900,367819,70685,42378,142198,343670,1434,2011,2853
"Parti Rhinocéros Party/Parti Rhinocéros Party",230,0,0,0,4998,839,0,0,616,380,0,0,0
"People's Party of Canada/Parti populaire du Canada",537,443,5130,3771,35082,51580,6008,3003,19704,11719,0,0,0
"United Party of Canada (UP)/Parti Uni du Canada (UP)",0,0,0,0,0,2498,404,0,3030,129,0,0,0
"Independent/Indépendant(e)",637,404,1573,0,3687,7740,97,583,7830,11738,0,0,0
"No Affiliation/Aucune appartenance",0,0,0,0,495,618,0,0,4096,0,0,0,0
